rushingId,playerId,yards,touchdowns,longest,yardsPerAtt,yardsPerGame
AbduAm00Rushing,AbduAm00,597,2,36,4.2,37.3
AndrAn00Rushing,AndrAn00,520,3,38,3.6,37.1
AlleJa01Rushing,AlleJa01,514,1,44,3.8,32.1
NewtCa00Rushing,NewtCa00,636,10,47,4.8,39.8
JohnDa08Rushing,JohnDa08,581,8,47,4.6,36.3
HydeCa00Rushing,HydeCa00,470,3,22,4.1,67.1
BellLe00Rushing,BellLe00,556,3,42,4.9,92.7
LyncMa00Rushing,LyncMa00,417,3,24,3.8,59.6
SimsCh00Rushing,SimsCh00,529,0,59,4.9,33.1
MathRy00Rushing,MathRy00,539,6,63,5.1,41.5
JohnDu00Rushing,JohnDu00,379,0,39,3.6,23.7
TaylTy00Rushing,TaylTy00,568,4,31,5.5,40.6
WilsRu00Rushing,WilsRu00,553,1,24,5.4,34.6
PolkCh00Rushing,PolkCh00,334,1,20,3.4,22.3
WoodDa02Rushing,WoodDa02,336,3,27,3.4,21
HighTi00Rushing,HighTi00,375,4,26,3.9,46.9
WillKa01Rushing,WillKa01,517,7,41,5.6,47
BellJo01Rushing,BellJo01,311,4,36,3.5,23.9
WillAn00Rushing,WillAn00,257,1,35,2.9,16.1
ColeTe01Rushing,ColeTe01,392,1,46,4.5,32.7
SmitAl03Rushing,SmitAl03,498,2,49,5.9,31.1
SproDa00Rushing,SproDa00,317,3,27,3.8,19.8
DrauSh00Rushing,DrauSh00,273,1,30,3.5,24.8
RandJo01Rushing,RandJo01,315,4,37,4.1,52.5
MasoTr00Rushing,MasoTr00,207,1,15,2.8,15.9
WareSp00Rushing,WareSp00,403,6,52,5.6,36.6
CharJa00Rushing,CharJa00,364,4,34,5.1,72.8
PoweBi00Rushing,PoweBi00,313,1,24,4.5,28.5
RobiDe00Rushing,RobiDe00,266,1,31,4,20.5
BoldBr00Rushing,BoldBr00,207,0,14,3.3,13.8
FostAr00Rushing,FostAr00,163,1,16,2.6,40.8
TolbMi00Rushing,TolbMi00,256,1,29,4.1,16
WestTe00Rushing,WestTe00,231,0,17,3.7,28.9
VereSh00Rushing,VereSh00,260,0,39,4.3,16.3
FitzRy00Rushing,FitzRy00,270,2,19,4.5,16.9
BrowDo00Rushing,BrowDo00,229,1,53,3.9,25.4
RodgAa00Rushing,RodgAa00,344,1,18,5.9,21.5
DaltAn00Rushing,DaltAn00,142,3,12,2.5,10.9
GrimJo01Rushing,GrimJo01,282,1,37,5,20.1
